     1018	2012-05-21 08:24:54	1	0	0	0
     1023	2012-05-21 08:25:00	1	0	1	0
       24	2012-05-21 08:25:10	1	0	0	0
        3	2012-05-21 08:25:17	1	0	1	0
     1007	2012-05-21 08:27:33	1	0	0	0
        1	2012-05-21 08:29:41	1	0	1	0
     1002	2012-05-21 08:30:48	1	0	0	0
     1011	2012-05-21 08:31:04	1	0	0	0
       18	2012-05-21 08:31:45	1	0	1	0
        8	2012-05-21 08:32:18	1	0	0	0
       15	2012-05-21 08:35:57	1	0	0	0
     1001	2012-05-21 08:36:46	1	0	0	0
       20	2012-05-21 08:40:48	1	0	0	0
        4	2012-05-21 08:44:23	1	0	1	0
       29	2012-05-21 08:45:57	1	0	1	0
     1015	2012-05-21 08:47:06	1	0	0	0
     1025	2012-05-21 08:48:34	1	0	1	0
        5	2012-05-21 08:55:48	1	0	0	0
       25	2012-05-21 08:57:04	1	0	1	0
       25	2012-05-21 09:01:36	1	0	1	0
        2	2012-05-21 09:10:14	1	0	1	0
       12	2012-05-21 09:32:12	1	0	0	0
     1021	2012-05-21 09:37:17	1	0	0	0
       20	2012-05-21 13:13:50	1	0	0	0
     1008	2012-05-21 13:14:04	1	0	0	0
     1000	2012-05-21 13:14:41	1	0	0	0
        7	2012-05-21 13:14:52	1	0	1	0
       12	2012-05-21 13:15:12	1	0	0	0
       29	2012-05-21 13:15:17	1	0	1	0
     1002	2012-05-21 13:15:48	1	0	0	0
     1018	2012-05-21 13:19:57	1	0	0	0
       15	2012-05-21 13:21:15	1	0	0	0
        7	2012-05-21 13:26:09	1	0	1	0
     1018	2012-05-21 13:43:11	1	0	0	0
     1015	2012-05-21 13:49:58	1	0	0	0
        5	2012-05-21 13:50:04	1	0	0	0
     1021	2012-05-21 13:50:10	1	0	0	0
     1001	2012-05-21 13:50:26	1	0	0	0
     1026	2012-05-21 13:57:10	1	0	1	0
       15	2012-05-21 14:04:46	1	0	0	0
     1002	2012-05-21 14:06:39	1	0	0	0
     1022	2012-05-21 14:07:17	1	0	0	0
       12	2012-05-21 14:13:56	1	0	0	0
